year,month,SPEI9
1966,1,NA
1966,2,NA
1966,3,NA
1966,4,NA
1966,5,NA
1966,6,NA
1966,7,NA
1966,8,NA
1966,9,-0.641170698
1966,10,-0.463582217
1966,11,-0.498471968
1966,12,-0.33378461
1967,1,-0.214720589
1967,2,0.159027202
1967,3,0.209602106
1967,4,1.135841212
1967,5,-0.094059834
1967,6,-0.824847444
1967,7,-1.197227235
1967,8,-0.919501361
1967,9,-0.439538559
1967,10,-0.80343454
1967,11,-0.850000339
1967,12,-0.914572222
1968,1,-1.004521844
1968,2,-0.763090049
1968,3,-0.186400561
1968,4,0.17596434
1968,5,-0.448217865
1968,6,-0.176878973
1968,7,0.890078731
1968,8,0.281129944
1968,9,-0.099840263
1968,10,-0.332599606
1968,11,-0.375026773
1968,12,-0.477794647
1969,1,-0.540164869
1969,2,-0.343859823
1969,3,-1.037873789
1969,4,-1.516052079
1969,5,-1.475040746
1969,6,-1.154906992
1969,7,-0.739114785
1969,8,-0.128832999
1969,9,0.201998196
1969,10,-0.105025034
1969,11,-0.161788671
1969,12,-0.270098165
1970,1,-0.413448991
1970,2,0.065560465
1970,3,0.359729567
1970,4,0.316082053
1970,5,-0.902031547
1970,6,-1.329501938
1970,7,-1.182685465
1970,8,-1.125681855
1970,9,-0.797838929
1970,10,-0.449615074
1970,11,-0.518050076
1970,12,-0.490609622
1971,1,-0.462710099
1971,2,-0.187204669
1971,3,0.070873559
1971,4,0.519374209
1971,5,0.741427972
1971,6,0.287037872
1971,7,-0.133445687
1971,8,0.909133161
1971,9,0.810103105
1971,10,0.617662201
1971,11,0.695577538
1971,12,0.714699236
1972,1,0.748303721
1972,2,0.852146816
1972,3,1.036970995
1972,4,1.131503764
1972,5,-0.097859417
1972,6,-0.130839096
1972,7,-0.253394922
1972,8,-0.456722484
1972,9,-0.446659101
1972,10,-0.463355085
1972,11,-0.439994388
1972,12,-0.446345195
1973,1,-0.486342823
1973,2,-0.423069852
1973,3,-0.403075243
1973,4,-0.339836115
1973,5,-0.0361314
1973,6,-0.608408569
1973,7,-1.480839668
1973,8,-1.597395596
1973,9,-1.520191864
1973,10,-1.515993753
1973,11,-1.190082989
1973,12,-1.112904932
1974,1,-1.225281689
1974,2,-1.511097543
1974,3,-0.720511228
1974,4,0.348720227
1974,5,1.010291336
1974,6,0.588115983
1974,7,0.912092217
1974,8,-0.418120421
